"(PDH-CSV 4.0) (","\\INSWAVE\process(W-Gear(Swing))\Working Set - Private","\\INSWAVE\process(W-BrowserUpdate)\Working Set - Private","\\INSWAVE\process(W-Browser#4)\Working Set - Private","\\INSWAVE\process(W-Browser#3)\Working Set - Private","\\INSWAVE\process(W-Browser#2)\Working Set - Private","\\INSWAVE\process(W-Browser#1)\Working Set - Private","\\INSWAVE\process(W-Browser)\Working Set - Private","\\INSWAVE\memory\Available Bytes"
"05/11/2017 17:14:56.587","6008832","7028736","96718848","8744960","28086272","1568768","18853888","909660160"
"05/11/2017 17:15:01.601","6004736","7028736","104620032","8744960","46108672","1568768","19644416","849178624"
"05/11/2017 17:15:06.617","5947392","7028736","124645376","8744960","42098688","1568768","19705856","827301888"
"05/11/2017 17:15:11.620","5947392","7028736","144605184","8744960","41598976","1568768","21037056","801464320"
"05/11/2017 17:15:16.637","5947392","7028736","160776192","8744960","41336832","1568768","20656128","776093696"
"05/11/2017 17:15:21.641","6008832","7028736","180736000","8806400","44019712","1568768","20848640","749977600"
"05/11/2017 17:15:26.657","5947392","7028736","179789824","8806400","46379008","1568768","20848640","751857664"
"05/11/2017 17:15:31.661","5947392","7028736","184078336","8806400","49524736","1568768","20856832","744898560"
"05/11/2017 17:15:36.677","5947392","7028736","206573568","8806400","39858176","1568768","21340160","718106624"
"05/11/2017 17:15:41.681","5738496","7028736","212402176","8806400","39854080","1568768","21340160","722378752"
"05/11/2017 17:15:46.698","5791744","7028736","211177472","8806400","39845888","1568768","21368832","726433792"
"05/11/2017 17:15:51.702","5791744","7028736","211230720","8806400","45875200","1568768","21377024","723779584"
"05/11/2017 17:15:56.723","5791744","7028736","226287616","8806400","40120320","1568768","20537344","706174976"
"05/11/2017 17:16:01.731","5791744","7028736","207945728","8806400","44748800","1568768","21266432","721403904"
"05/11/2017 17:16:06.744","5791744","7028736","212557824","8806400","40026112","1568768","21237760","723009536"
"05/11/2017 17:16:11.747","5791744","7028736","216244224","8806400","46841856","1568768","21254144","714801152"
"05/11/2017 17:16:16.762","5791744","7028736","206319616","8806400","39514112","1568768","21504000","724393984"
"05/11/2017 17:16:21.766","5791744","7028736","208850944","8806400","39235584","1568768","21504000","718950400"
"05/11/2017 17:16:26.780","5791744","7028736","222236672","8744960","39247872","1568768","21540864","702468096"
"05/11/2017 17:16:31.782","5791744","7028736","226119680","8744960","46592000","1568768","21540864","690704384"
"05/11/2017 17:16:36.795","5791744","7028736","209883136","8744960","46850048","1568768","22028288","709140480"
